,place_name,frequency,pleiades_id,lat,long
0,Rome,12,423025.0,41.891775,12.486137
1,Euphrates,6,912849.0,35.54331017895074,39.60601787777416
2,Arabia,2,981506.0,27.5,32.5
3,Africa,7,775.0,32.5,7.5
4,Ireland,1,20487.0,53.18402845393658,-7.717525943479772
5,India,1,50004.0,22.5,77.5
6,Iberia,1,863807.0,41.836468,44.6891385
7,Caledonia,1,89132.0,57.5,-4.5
8,Misenum,2,432941.0,40.786279,14.084884
9,Naples,3,433014.0,40.839995,14.25287
10,Tarragona,1,246349.0,41.116892,1.2583375
11,Lugdunum,1,167717.0,45.758866,4.8194815
12,Hercules,2,266032.0,37.5,-0.5
13,Illyricum,2,481865.0,42.427291800000006,17.965028033333333
14,Macedonia,3,491656.0,41.25,21.75
15,Augsburg,1,118580.0,48.365463,10.894765
16,Thebes,1,541138.0,38.319156,23.317577
17,Argos,1,570106.0,37.631561,22.719464
18,Sparta,1,570685.0,37.077905,22.4272985
19,Athens,1,579885.0,37.972633872615816,23.72274610172613
20,Achaia,1,570028.0,38.102121472776034,22.224585911364017
21,Troy,1,550595.0,39.95743278441429,26.23845862267349
22,Ionia,1,550597.0,38.16219419038276,27.35749765615053
23,Constantinople,1,520998.0,41.00637141163484,28.96535173623981
24,Trebizond,2,857359.0,41.0042695,39.7233115
25,Nile,1,727172.0,19.211408766666665,30.567329633333333
26,Algiers,1,295276.0,36.7689125,3.0532175
27,Sardinia,1,472014.0,39.87108695332339,8.957516889586618
28,Sicily,1,462492.0,37.64329684051015,13.932017688866832
29,Malta,1,462311.0,35.90888665,14.40804165
